"name","committeeID","partyCode","totalDonationsIn","committeeCategory","categoryRange","politicalLeaning"
"SENATE LEADERSHIP FUND","C00571703",NULL,919636147,"MEGA-LARGE",">= $100,000,000",NULL
"SMP","C00484642",NULL,809213131,"MEGA-LARGE",">= $100,000,000",NULL
"NEXTGEN CLIMATE ACTION COMMITTEE","C00547349",NULL,295016128,"MEGA-LARGE",">= $100,000,000",NULL
"AMERICAN CROSSROADS","C00487363",NULL,262846115,"MEGA-LARGE",">= $100,000,000",NULL
"CLUB FOR GROWTH ACTION","C00487470",NULL,215167088,"MEGA-LARGE",">= $100,000,000",NULL
"AMERICA FIRST ACTION, INC.","C00637512",NULL,183454773,"MEGA-LARGE",">= $100,000,000",NULL
"INDEPENDENCE USA PAC","C00532705",NULL,182388547,"MEGA-LARGE",">= $100,000,000",NULL
"DEMOCRACY PAC II","C00786624",NULL,175353267,"MEGA-LARGE",">= $100,000,000",NULL
"LCV VICTORY FUND","C00486845",NULL,162019715,"MEGA-LARGE",">= $100,000,000",NULL
"RESTORE OUR FUTURE, INC.","C00490045",NULL,151795686,"MEGA-LARGE",">= $100,000,000",NULL
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION","C00687103",NULL,146489516,"MEGA-LARGE",">= $100,000,000",NULL
"WOMEN VOTE!","C00473918",NULL,132976389,"MEGA-LARGE",">= $100,000,000",NULL
"NEA ADVOCACY FUND","C00489815",NULL,124007187,"MEGA-LARGE",">= $100,000,000",NULL
"RIGHT TO RISE USA","C00571372",NULL,123302111,"MEGA-LARGE",">= $100,000,000",NULL
"RGA RIGHT DIRECTION PAC","C00490730",NULL,113836411,"MEGA-LARGE",">= $100,000,000",NULL
"DEMOCRACY PAC","C00693382",NULL,106623586,"MEGA-LARGE",">= $100,000,000",NULL
"PRESERVE AMERICA PAC","C00756882",NULL,105190000,"MEGA-LARGE",">= $100,000,000",NULL
"PLANNED PARENTHOOD VOTES","C00489799",NULL,100765336,"MEGA-LARGE",">= $100,000,000",NULL
"FOR OUR FUTURE","C00620971",NULL,98491084,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"WORKING FOR WORKING AMERICANS ? FEDERAL","C00490847",NULL,93813637,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"NATIONAL ASSOCIATION OF REALTORS CONGRESSIONAL FUND","C00488742",NULL,74481737,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"MAKE AMERICA GREAT AGAIN INC.","C00825851",NULL,73000750,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"RESTORATION PAC","C00571588",NULL,72750032,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"ESAFUND","C00489856",NULL,72253076,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"FREEDOM PARTNERS ACTION FUND, INC.","C00564765",NULL,71807224,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"CONSERVATIVE SOLUTIONS PAC","C00541292",NULL,60301793,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND)","C00688655",NULL,52129466,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"WORKERS* VOICE","C00484287",NULL,50591638,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"GET OUR JOBS BACK, INC","C00616078",NULL,50325477,"XX-LARGE","$50,000,000 to $99,999,999",NULL
"BLACKPAC","C00609388",NULL,48734386,"X-LARGE","$25,000,000 to $49,999,999",NULL
"UNITE THE COUNTRY","C00701888",NULL,47656236,"X-LARGE","$25,000,000 to $49,999,999",NULL
"UNITED WE CAN","C00523621",NULL,46821537,"X-LARGE","$25,000,000 to $49,999,999",NULL
